Time,RMSError,TotalError,AverageError,ManTrackedCells,AutoTrackedCells
64,2.196181251804116,1422.8475667788884,4.823212090775893,295,916
65,2.1965402956290254,1418.4880454746815,4.824789270322046,294,917
66,2.219329412629038,1452.9997973193035,4.925423041760351,295,925
67,2.2201370347274283,1498.4185697023627,4.929008452968298,304,929
68,2.1826511347954405,1453.009622748266,4.763965976223823,305,937
69,2.2024425227654927,1469.778179023945,4.850753066085628,303,944
70,2.182547243876805,1462.398328828551,4.763512471754238,307,951
71,2.2025254494199085,1474.7399800240803,4.851118355342369,304,963
72,2.181445756150344,1465.6813208041146,4.758705587026347,308,969
73,2.2028008872450155,1513.9275056403976,4.852331748847428,312,971
74,2.1915470486190474,1498.498081488987,4.802878466310856,312,983
75,2.212232981646909,1522.0261519418616,4.893974765086372,311,987
76,2.1726455755678264,1477.4816934717837,4.7203887970344525,313,998
77,2.1776327568269664,1484.27242458862,4.742084423605815,313,1004
78,2.2131550824513937,1533.091346140876,4.898055418980435,313,999
79,2.2010569010139838,1506.6866107468989,4.844651481501282,311,1001
80,2.209454524328734,1523.087060063934,4.881689295076711,312,1006
81,2.223037676895429,1571.5230911011272,4.941896512896626,318,1011
82,2.2349786790256148,1583.4561135366089,4.995129695699082,317,1018
83,2.2239919551062712,1567.9264485916403,4.946140216377414,317,1026
84,2.2333097639113557,1591.0675280045928,4.9876725015817955,319,1025
85,2.2891890957087826,1692.6449092395737,5.240386715911993,323,1033
86,2.2751825732531987,1651.28938158158,5.176455741635047,319,1027
87,2.2632316980143306,1654.4763232036757,5.122217718896829,323,1030
88,2.2642007340458594,1655.8934033893802,5.126604964053809,323,1035
89,2.289616110484043,1729.9728380180654,5.242341933388077,330,1039
90,2.2835330730977903,1710.3636410655115,5.214523295931437,328,1044
91,2.270402609435917,1726.8338829926965,5.154728008933422,335,1059
92,2.2701231880108548,1726.40886172943,5.153459288744568,335,1065
93,2.267130293999172,1737.2793622494453,5.139879769968773,338,1065
94,2.2674333350186204,1742.885081847492,5.141253928753664,339,1064
95,2.2800201939586304,1772.68580093697,5.19849208485915,341,1057
96,2.2989275109327827,1796.9230181780238,5.2850677005236,340,1067
97,2.2917479588072283,1780.4648515703161,5.252108706697098,339,1070
98,2.3083915275613696,1817.0769625803355,5.328671444517113,341,1075
99,2.320792233720989,1836.6521179059835,5.386076592099658,341,1084
100,2.3048946289117858,1795.6382666306024,5.312539250386398,338,1091
101,2.3362985993184138,1872.1938627957736,5.458291145177182,343,1099
102,2.3026929863137466,1802.8142963342968,5.30239498921852,340,1104
103,2.2805015472430683,1815.0398701353317,5.200687306978028,349,1104
104,2.284595233224946,1832.000758265625,5.219375379674146,351,1110
105,2.2920671089780944,1844.003642852779,5.2535716320592,351,1117
106,2.3216381604135696,1891.891315508865,5.390003747888504,351,1123
107,2.288788468662593,1838.7319816532831,5.2385526542828575,351,1121
108,2.3161507513849062,1882.9585604024442,5.364554303140866,351,1129
109,2.3216935361128077,1891.9815673454257,5.390260875627994,351,1138
110,2.325140410223399,1892.1972745388427,5.406277927253837,350,1143
111,2.307717469007372,1874.5970907001506,5.325559916761791,352,1157
112,2.2817338117433703,1827.4145248661785,5.20630918765293,351,1168
113,2.2938169423800763,1846.8202539676088,5.261596165149882,351,1186
114,2.3135763419282296,1900.1855989251528,5.352635489930008,355,1185
115,2.3235044505082616,1905.7315448306897,5.398672931531699,353,1188
116,2.2766063856786602,1845.1254421713752,5.182936635312852,356,1195
117,2.3076349223911787,1890.4385219389665,5.325178935039342,355,1197
118,2.3198034839691055,1915.8098007077313,5.3814882042352,356,1202
119,2.341459441894092,1957.2283375384927,5.482432318034993,357,1207
120,2.305649875022386,1897.8196205900956,5.316021346190744,357,1219
121,2.335157750988617,1968.5191816428005,5.452961722002217,361,1226
122,2.3243554391262236,1950.3487828698333,5.40262820739566,361,1235
123,2.3161163007903407,1936.5464934820102,5.364394718786732,361,1247
124,2.3693817315401287,2015.4151545224395,5.613969789756099,359,1255
125,2.345850095011162,1986.5875732432603,5.503012668263879,361,1260
126,2.353869651619247,2022.3563529371522,5.540702336814116,365,1271
127,2.396535462965161,2084.847747765619,5.743382225249639,363,1269
128,2.3619869391403245,2041.9075220450295,5.578982300669479,366,1278
129,2.3330929910332454,2003.1428289695114,5.443322904808455,368,1287
130,2.374113419839058,2062.927718075126,5.636414530259907,366,1274
131,2.3855772808104896,2105.662216206093,5.6909789627191705,370,1272
132,2.3910628499094306,2103.9228112158594,5.717181552217009,368,1276
133,2.3668616373548956,2061.548515820685,5.6020340103822965,368,1285
134,2.38534819412421,2116.6375946827266,5.689886007211631,372,1291
135,2.3632055811382537,2071.9387695462297,5.584740618722991,371,1303
136,2.3985585570609986,2128.6407661106996,5.753083151650539,370,1307
137,2.381131492423054,2114.830619709898,5.669787184208842,373,1306
138,2.427383536806617,2209.571563034925,5.8921908347598,375,1305
139,2.4414801244552393,2235.309449291239,5.960825198109971,375,1302
140,2.405456106665043,2169.832155409555,5.786219081092147,375,1308
