Manual Cell ID,RMSError,AverageError,ManualLength,AutoLength
154,4.395043476818737,19,51,75
155,5.464281501583749,29,89,75
156,6.369244325577322,40,98,334
157,4.5810193097543275,20,189,64
158,3.984248388281827,15,65,220
159,4.8014715753493045,23,100,83
160,2.7294391228408363,7,37,83
161,4.994559532716676,24,108,184
162,6.202129281955254,38,100,119
163,5.358496631982188,28,67,119
165,5.797745693788706,33,239,127
166,8.236640862150583,67,168,241
167,7.517434607488868,56,168,241
168,5.089761258847144,25,208,74
169,6.037176043150937,36,125,294
170,5.131847230196257,26,125,294
176,3.3674845708254244,11,118,21
177,4.9866315657286595,24,94,162
178,4.07179744532659,16,37,184
179,4.3498747928090635,18,37,184
180,4.4344572600685215,19,152,179
181,5.293948163610086,28,62,167
182,5.257765473468082,27,62,167
184,4.062042537695073,16,65,364
185,3.683411938646877,13,52,364
187,5.301153588336542,28,185,150
188,4.422374915602837,19,88,218
189,5.419272801586402,29,88,218
190,3.0215934609119786,9,37,182
191,3.6628415014847064,13,64,186
192,2.6981678764080854,7,64,186
195,7.552413154421031,57,264,125
196,4.43475825586946,19,156,243
197,4.100652068450154,16,156,243
198,2.620104852466438,6,42,369
200,7.4729504847300054,55,244,122
201,4.648109280125798,21,156,246
202,5.026283302455232,25,156,246
203,5.68151516037206,32,169,110
204,6.467909618437272,41,143,258
205,7.0283803041456965,49,168,258
209,4.019729818684546,16,191,159
210,6.8999110283043255,47,98,209
211,7.122971013644752,50,98,209
212,5.135315979385319,26,239,123
213,6.863369560222717,47,168,245
214,7.520709908605466,56,168,245
217,5.484215811619098,30,191,147
218,6.585024436613306,43,141,95
219,6.529453066540717,42,98,213
220,1.7043842135425202,2,35,74
221,3.757270164842779,14,125,286
222,4.684905492186673,21,125,286
224,2.623682521377683,6,37,363
225,5.436172765632428,29,155,199
226,4.075284160465081,16,62,163
227,5.502466039826235,30,132,163
230,6.490650038863259,42,209,113
231,6.159989986537122,37,156,255
232,6.417433701395412,41,156,255
233,6.7632878706813875,45,240,154
234,6.049833088680016,36,156,214
235,6.021993972868684,36,156,214
237,2.8452558680755513,8,88,137
238,5.249762099713069,27,156,231
239,4.740578893110021,22,156,231
240,1.6506801238857844,2,26,96
241,7.439858029573795,55,144,272
242,6.517177921334468,42,125,272
247,4.492110532088192,20,189,67
248,3.469905049658314,12,65,301
249,2.590241789088065,6,65,301
250,3.164337455952459,10,37,189
251,6.6309311796590285,43,98,179
252,6.85079692586101,46,98,179
254,5.823682480167333,33,264,81
255,3.8274361788974054,14,125,65
256,7.494935611759629,56,152,221
257,7.218061954409104,52,152,221
258,3.5434558303717933,12,125,73
259,3.3862205297817294,11,61,185
260,4.019389807098026,16,43,173
261,6.523210332897059,42,87,173
264,3.3276910239299307,11,150,30
265,3.272495471327364,10,69,188
266,4.664922804547176,21,62,139
267,6.479245753085136,41,96,139
268,2.92090036163541,8,69,176
269,4.158886301262091,17,62,151
270,4.043313295415245,16,62,151
271,3.7559645435927598,14,150,51
272,2.024111211040689,4,44,307
273,2.552641945364223,6,64,307
276,4.801019129992518,23,133,205
277,4.044708653999608,16,62,144
278,7.7040920780210245,59,168,144
279,3.9612870964577622,15,89,182
280,4.154839737907585,17,80,167
281,3.940488010216737,15,80,167
282,2.0305431848689306,4,35,56
283,4.218220507612727,17,74,302
284,2.3612270747285806,5,36,302
288,3.462052782170211,11,118,15
289,5.309170568295742,28,152,179
