Time,RMSError,TotalError,AverageError,ManTrackedCells,AutoTrackedCells
57,2.2029749636043263,1392.8393241067674,4.853098690267482,287,1771
58,2.207917400639751,1389.346285693621,4.874899248047793,285,1781
59,2.1569467876735873,1344.5492195632125,4.652419444855407,289,1785
60,2.129534173490744,1301.520833470628,4.534915796064906,287,1792
61,2.077549286608295,1251.7012011031247,4.316211038286637,290,1799
62,2.1459872250375094,1330.9204781369906,4.605261170024189,289,1807
63,2.1209925670351257,1322.5911840089664,4.498609469418253,294,1804
64,2.17343148951141,1393.522309681937,4.723804439599786,295,1800
65,2.1923059847494732,1413.0244260458974,4.806205530768358,294,1815
66,2.1846534473795702,1407.949652118495,4.77271068514744,295,1821
67,2.157696744229846,1415.3191929782633,4.655655240060077,304,1826
68,2.188006415570803,1460.1484827465931,4.787372074578994,305,1830
69,2.1924625953007686,1456.4883462332737,4.8068922317929825,303,1832
70,2.189817888474252,1472.1578320973226,4.795302384681833,307,1825
71,2.160700737215502,1419.2628134442984,4.668627675803613,304,1820
72,2.1517506783476597,1426.0495423850407,4.630030981769613,308,1818
73,2.1450062204456213,1435.5281259541277,4.601051685750409,312,1832
74,2.1396808510164576,1428.4090529924317,4.578234144206512,312,1834
75,2.1629202621878907,1454.9276828412926,4.678224060582934,311,1839
76,2.115582307048348,1400.8904998414514,4.4756884978960105,313,1840
77,2.1435935607828216,1438.2329197486577,4.594993353829577,313,1849
78,2.1332242654915072,1424.3521250339973,4.550645766881781,313,1850
79,2.1293537749466673,1410.1198721515627,4.534147498879623,311,1839
80,2.131200232309659,1417.1085022213838,4.542014430196743,312,1839
81,2.159222743081747,1482.5932276487856,4.662242854241464,318,1831
82,2.1457492969799197,1459.5440944202726,4.604240045489819,317,1838
83,2.1736995749865224,1497.8154400080186,4.724969842296589,317,1838
84,2.1907679452214377,1531.0290765493135,4.79946418980976,319,1846
85,2.1781401170272905,1532.4070813173814,4.744294369403658,323,1863
86,2.1488420982529064,1472.9896338684414,4.617522363223954,319,1869
87,2.1799605031897236,1534.9695779359033,4.752227795467193,323,1881
88,2.1829719850596683,1539.2134400803777,4.765366687555349,323,1901
89,2.1531557011016,1529.9062261514864,4.636079473186323,330,1906
