Manual Cell ID,RMSError,AverageError,ManualLength,AutoLength
97,9.633336058194399,92,53,126
98,9.56456751072876,91,53,126
99,19.045315242736777,362,68,32
100,11.035209494178757,121,110,189
101,9.32377010356453,86,53,146
102,9.738964055963644,94,53,146
103,10.854186810694262,117,110,187
104,13.109432038405593,171,91,148
105,9.692295229129188,93,53,148
107,11.736791554334323,137,44,49
108,10.326452596406895,106,110,319
109,10.384961285701447,107,110,319
110,9.85489150776444,97,110,189
111,12.22028298374726,149,91,179
112,12.11523888841695,146,91,179
115,9.420745192811815,88,110,180
116,12.067403929572123,145,91,188
117,11.776219943221152,138,91,188
118,9.091314097403018,82,110,241
119,11.807010771620854,139,91,127
120,11.671360118550838,136,91,127
122,9.6752869300903,93,110,136
123,7.908591678382783,62,110,232
124,8.340943282626444,69,110,232
125,9.37618782032336,87,110,120
126,7.361850801066493,54,110,248
127,7.69967932041406,59,110,248
131,11.318208214575513,128,44,62
132,7.930249830825266,62,110,261
133,7.578258077806737,57,36,44
134,5.564151367981627,30,19,44
135,8.475843422769088,71,110,306
136,10.187766699271489,103,110,81
137,6.647173218644734,44,110,203
138,10.15666827725893,103,91,83
139,9.923554529684848,98,91,83
140,7.245666195263935,52,110,208
141,6.204441498485853,38,36,78
142,6.133222919113252,37,36,78
144,9.35572107766282,87,110,108
145,5.2106555881916155,27,110,260
146,5.231830537352858,27,110,260
148,6.579973337628906,43,110,361
149,6.868542690038982,47,110,361
152,18.343048068436808,336,68,34
153,7.0605482725243185,49,110,258
154,4.874588543500429,23,36,75
155,5.65881159769824,32,36,75
156,6.681029540092191,44,110,334
157,11.426874630680567,130,44,64
158,8.09161656528002,65,110,220
159,10.449143066791764,109,91,83
160,10.236260872665003,104,91,83
161,8.108357542628255,65,110,184
162,10.158158977047753,103,91,119
163,9.833626833233781,96,91,119
165,9.085373328687297,82,110,127
166,5.204325062384401,27,110,241
167,5.837335400253094,34,110,241
168,11.169127841248093,124,110,74
169,6.919456865965376,47,110,294
170,7.5686282815199615,57,110,294
176,19.227716741116296,369,68,21
177,7.779405819750264,60,110,162
178,4.870533394468021,23,36,184
179,4.229409373030804,17,36,184
180,7.423718839189516,55,110,179
181,4.253086674891937,18,36,167
182,4.080352139998296,16,36,167
184,11.371252597145869,129,110,364
185,11.71967979314565,137,110,364
187,10.751047077162019,115,110,150
188,10.608436276628677,112,110,218
189,10.721651603233234,114,110,218
190,10.81913489935228,117,110,182
191,12.594423746760352,158,91,186
192,12.617448061621591,159,91,186
195,10.653881292989066,113,110,125
196,9.651477051597066,93,110,243
197,9.923519957478415,98,110,243
198,9.549773153269479,91,110,369
200,10.400132922343076,108,110,122
201,8.867397396259474,78,110,246
202,8.675964231799844,75,110,246
203,10.167418606750417,103,110,110
204,7.523410032342928,56,110,258
205,7.9191145515332035,62,110,258
209,8.992486231479994,80,110,159
210,5.799034885672135,33,110,209
211,6.367653678177697,40,110,209
212,9.520637585476127,90,110,123
213,5.9401519641506635,35,110,245
214,5.2327563629989875,27,110,245
217,9.122030938491795,83,110,147
218,4.699204915731097,22,110,95
219,5.622025148265666,31,110,213
220,11.895831453736271,141,110,74
221,2.832517852428593,8,19,286
222,3.972411096923481,15,45,286
224,10.697631558717967,114,110,363
225,11.156102833367147,124,110,199
226,12.46962290019325,155,91,163
227,12.470572719781622,155,91,163
230,11.138810204456119,124,110,113
231,9.773442400558352,95,110,255
232,10.106052820889563,102,110,255
233,10.241264574766577,104,110,154
234,9.175799274147275,84,110,214
235,8.827293710178463,77,110,214
237,10.101212561719978,102,110,137
238,7.978630245895657,63,110,231
239,8.456940128699584,71,110,231
240,11.100612944859174,123,110,96
241,8.242346430625139,67,110,272
242,8.503861618275376,72,110,272
247,11.75986254396366,138,44,67
248,8.60601909732261,74,110,301
249,9.11778474176582,83,110,301
250,8.443596081923719,71,110,189
251,3.7857076577921127,14,19,179
252,9.168703240681879,84,91,179
254,11.683374919336945,136,110,81
255,9.230140366116892,85,110,65
256,5.644131786499418,31,110,221
257,2.7821366349453243,7,19,221
258,9.585364930862623,91,110,73
259,3.727158528722522,13,45,185
260,4.329713503048978,18,36,173
261,4.303850795559941,18,45,173
264,13.301512876339952,176,44,30
265,3.7312918665462456,13,45,188
266,8.098905340839021,65,91,139
267,7.9650811738243785,63,91,139
268,3.7015550875077836,13,91,176
269,7.684569324208602,59,91,151
270,7.507036791753886,56,91,151
271,13.057622309237214,170,44,51
272,4.583155486970349,21,45,307
273,5.256788594540375,27,45,307
276,5.627390029417477,31,91,205
