Manual Cell ID,RMSError,AverageError,ManualLength,AutoLength
84,5.435655975647561,29,59,142
85,5.938451847998598,35,183,196
86,6.3562300860488925,40,79,172
87,9.59482177963487,92,195,172
92,4.115244016278989,16,87,22
93,2.844161042441705,8,51,206
94,6.657219256568846,44,73,139
95,6.1684234542493845,38,73,139
96,3.8756799183541646,15,69,219
97,4.001079978279621,16,58,126
98,4.785489654739977,22,58,126
99,2.777905428429824,7,34,32
100,5.9694284910788635,35,124,189
101,6.361848483470299,40,62,146
102,5.8158645226762085,33,62,146
103,4.334012357525835,18,71,187
104,6.13310392804566,37,62,148
105,10.9465908163532,119,195,148
107,5.102281853820813,26,123,49
108,4.8034214071616494,23,86,319
109,4.559133349948121,20,86,319
110,3.3237205481376595,11,57,189
111,11.380403057793034,129,195,179
112,8.162187049650662,66,115,179
115,3.4219156396641304,11,53,180
116,8.60315635244652,74,115,188
117,8.242491162545955,67,115,188
118,4.949630173169659,24,113,241
119,3.3831232821550556,11,42,127
120,3.260390438695134,10,42,127
122,6.060409191031059,36,169,136
123,4.9989639047104975,24,97,232
124,4.408374249427607,19,97,232
125,5.404505929943197,29,119,120
126,5.888877705044013,34,128,248
127,6.5054608206362605,42,128,248
131,5.410393130012624,29,145,62
132,6.209809080310141,38,114,261
133,3.944954702909974,15,54,44
134,3.294836263179094,10,52,44
135,5.448256840236078,29,114,306
136,4.3558667164231295,18,119,81
137,4.7734738184139545,22,85,203
138,3.6402956071311716,13,48,83
139,3.8906249648211366,15,48,83
140,4.905655012545304,24,85,208
141,3.851178624010946,14,48,78
142,3.353065301929842,11,48,78
144,6.051107159206421,36,234,108
145,4.134065205556784,17,84,260
146,4.746765911607049,22,84,260
148,3.265750092122825,10,34,361
149,3.061788564508095,9,36,361
152,4.762707680563096,22,145,34
153,3.9284481684429338,15,63,258
154,3.636739074330743,13,34,75
155,3.7576070305773914,14,48,75
156,5.724658635837956,32,83,334
157,5.540544389236598,30,145,64
158,5.096270943001241,25,89,220
159,4.2437801458455535,18,48,83
160,4.856029894488249,23,59,83
161,5.335089763559111,28,117,184
162,5.8747863455146065,34,59,119
163,5.695202290340615,32,59,119
165,4.856016705327606,23,144,127
166,3.6180397384024894,13,128,241
167,3.8269140935179666,14,128,241
168,5.450275965089363,29,141,74
169,6.0011301323628015,36,116,294
170,5.492746153656416,30,116,294
176,4.542823787833747,20,118,21
177,4.522921904287885,20,146,162
178,5.8710714775898,34,72,184
179,5.819585166938481,33,72,184
180,3.355375571703586,11,54,179
181,4.706992524936794,22,49,167
182,4.111034334806077,16,49,167
184,4.307869963592376,18,80,364
185,4.416208542032628,19,80,364
187,7.1874968363492115,51,183,150
188,8.055597655799248,64,140,218
189,7.124148381005045,50,120,218
190,6.745120563324381,45,186,182
191,7.076469149174466,50,115,186
192,3.503147745513733,12,48,186
195,3.41909910996002,11,51,125
196,5.7682385368808715,33,123,243
197,5.492398331541771,30,124,243
198,3.447687704516613,11,53,369
200,7.460966609959552,55,234,122
201,6.873814985563354,47,146,246
202,6.273449602504772,39,146,246
203,7.005295789337509,49,234,110
204,2.126763629327326,4,24,258
205,5.980057531802771,35,146,258
209,2.604290687140218,6,25,159
210,5.566023934929507,30,100,209
211,3.5676213450081633,12,54,209
212,7.234219091397116,52,234,123
213,5.128063667057954,26,128,245
214,4.8773793939408305,23,128,245
217,3.6472519060715234,13,80,147
218,5.651513361576866,31,137,95
219,6.0359008891443775,36,100,213
220,4.745148674114682,22,141,74
221,4.857812658975194,23,116,286
222,4.825101172126914,23,116,286
224,3.5913260948052477,12,51,363
225,3.4513227141983696,11,37,199
226,9.702892985745313,94,195,163
227,9.443282758797231,89,195,163
230,3.8150913314385453,14,53,113
231,5.390597318891427,29,99,255
232,5.809682730515351,33,124,255
233,6.1424590454419015,37,183,154
234,5.196812670329466,27,100,214
235,4.440318510568593,19,100,214
237,5.7310577931954,32,144,137
238,5.30195819158065,28,115,231
239,4.148433947033468,17,115,231
240,8.044225037538096,64,234,96
241,3.7276070258145135,13,119,272
242,3.9970035151148027,15,119,272
247,5.419371504130546,29,145,67
248,5.383049519595206,28,114,301
249,4.5318546018907835,20,114,301
250,1.6817928305074292,2,25,189
251,2.785603049573401,7,44,179
252,3.5809158466531894,12,44,179
254,5.082270244247112,25,141,81
255,2.9718278662008415,8,65,65
256,6.705116317847767,44,100,221
257,6.792101681833079,46,100,221
258,7.300122933123609,53,368,73
259,6.101027994066655,37,182,185
260,5.282817762544684,27,72,173
261,4.9765572938459135,24,65,173
264,5.757363542460734,33,118,30
265,3.3055657849705553,10,73,188
266,3.440356449415659,11,33,139
267,3.4976328541663904,12,33,139
268,1.956223084541893,3,68,176
269,6.48234369229596,42,61,151
270,6.174277925528952,38,65,151
271,5.332851504502405,28,124,51
