Time,RMSError,TotalError,AverageError,ManTrackedCells,AutoTrackedCells
289,10.111456428230182,43043.693013098935,102.24155109999747,421,3
290,10.538167725333453,46531.1982040418,111.05297900725967,419,3
291,10.32698672926137,45111.53502538201,106.64665490634044,423,2
292,10.456897125695019,46253.653041386984,109.34669749736875,423,2
293,10.325276121697867,44989.979989486346,106.61132698930413,422,2
294,10.400389816768554,45538.77361145282,108.16810834074305,421,2
295,10.325959566801817,44889.31065057013,106.62544097522596,421,2
296,10.081633595636102,42993.43910966655,101.63933595665851,423,2
297,10.01185468555002,42400.350085453065,100.23723424456989,423,2
298,10.08332012648206,42906.15149425588,101.6733447731182,422,3
299,10.07881548643555,43070.98916247594,101.58252160961307,424,5
300,10.083443721861103,43008.87917449067,101.67583729194011,423,5
301,9.990557252617377,42419.774542575906,99.81123421782566,425,5
302,10.203229452063445,44140.89789061688,104.1058912514549,424,6
303,10.341847232376594,45562.320579749365,106.95380417781541,426,7
304,10.068224816912881,43183.25831062158,101.36915096390042,426,7
305,9.961031398961259,42268.63442224523,99.2221465310921,426,7
306,10.036704289479482,42611.08815665482,100.73543299445583,423,7
307,10.064806698593266,43052.641899020346,101.30033388004787,425,7
308,10.101608552029179,43368.06051883233,102.04249533842902,425,7
309,10.096777051890262,43326.58540512057,101.94490683557781,425,8
310,10.163318405988012,43796.24939311375,103.2930410214947,424,8
311,10.152843068994326,43706.01429065747,103.08022238362611,424,8
312,10.008620437062959,42473.132814554396,100.17248305319433,424,8
313,10.240574398209604,44464.61033823278,104.869364005266,424,8
314,10.270961073023315,44623.38729678599,105.49264136356027,423,7
315,10.244866928721873,44606.85181456813,104.95729838721913,425,5
316,10.277934126512534,44895.270211295654,105.63592990893095,425,5
317,10.331470988997884,45364.199438514595,106.73929279650493,425,5
318,10.309821619061813,45174.27927217159,106.29242181687432,425,5
319,10.277507467150624,44891.54288836815,105.62715973733683,425,5
320,10.213801062894978,44336.7361647677,104.32173215239459,425,5
321,10.150539945487472,43686.18754241321,103.03346118493681,424,5
322,10.150077623842833,43888.256278034896,103.02407577003497,426,5
323,10.1433739649664,43521.63897130592,102.8880353931582,423,5
324,10.127181097985588,43587.91372134354,102.55979699139657,425,3
325,10.152455282068148,43805.74800811721,103.07234825439343,425,4
326,10.166020746288815,43612.84663749728,103.3479778139746,422,5
327,10.169397621365919,43641.82544816886,103.4166479814428,422,5
328,9.927267978810455,41588.37409875471,98.55064952311544,422,5
329,10.149432305530501,43264.6099723094,103.01097612454619,420,5
330,10.458700898823823,46160.227135226574,109.38442449105823,422,5
331,11.971781428111122,60482.538337360806,143.32355056246635,422,4
332,11.907403283896084,59833.798751373164,141.78625296533926,422,4
333,11.875171229746725,59510.30991250944,141.01969173580434,422,4
334,15.536467270573942,101863.12603533767,241.38181524961533,422,3
335,15.445972561269778,100679.94484939653,238.5780683634989,422,3
336,15.281240918683107,98076.85608623068,233.51632401483494,420,3
337,15.290284742496931,97959.18634527984,233.79280750663446,419,4
338,15.33510381627873,98769.47180353952,235.16540905604649,420,4
339,15.338676248418675,99286.04538070495,235.2749890538032,422,4
340,15.13212345273497,96630.04959967853,228.98116018881169,422,5
341,15.466832336003977,100952.06485924457,239.22290251005822,422,5
342,15.541243281229042,101925.76243051836,241.5302427263468,422,5
343,15.526224126926301,101728.85423988942,241.06363563954838,422,5
344,15.287610109876649,98626.05165181636,233.71102287160275,422,6
345,15.47330072477081,101036.5209046994,239.42303531919288,422,6
346,15.506155824880038,100985.16475549366,240.4408684654611,420,6
347,15.43768566228505,100095.298215159,238.32213860752142,420,6
348,15.44564470481107,100198.53494584847,238.56794034725826,420,6
349,12.068199596121925,61169.40542657171,145.6414414918374,420,7
350,12.196954295055265,62481.59151178017,148.76569407566708,420,7
351,12.53874349968222,66032.4371913457,157.2200885508231,420,7
352,12.742474258855596,68033.30244955335,162.3706502375975,419,6
353,12.62229726499171,67074.72545148905,159.32238824581722,421,6
354,12.38224560476757,64547.722617266816,153.3200062167858,421,6
355,11.976723397856494,60389.041309829314,143.44190334876322,421,6
356,12.009906552502306,60724.137123331726,144.23785539983783,421,6
357,11.682689939297457,57460.28781567781,136.48524421776202,421,7
358,11.789439774442796,58515.16477218502,138.9908901952138,421,7
359,11.928447940025297,59903.19337857326,142.28787025789373,421,6
360,12.03909952635191,61019.70522767626,144.9399174054068,421,6
361,12.172400130105235,62378.443794429484,148.16732492738595,421,6
362,12.12077881419692,61850.49048539034,146.9132790626849,421,5
363,12.085617115840952,61492.16139076798,146.06214107070778,421,5
364,12.049053892430404,61120.65357483346,145.1796997026923,421,5
365,12.017559701880204,60801.55304025537,144.42174118825503,421,5
366,11.674880755030918,57383.49591120454,136.3028406441913,421,5
367,11.74230282663019,58048.18545803299,137.88167567228737,421,4
368,16.654843496929615,116778.58481293905,277.38381190721867,421,2
